trade_date,classification,trades,active_accounts,daily_size_usd,daily_net_pnl,daily_win_rate,sentiment_value,daily_net_pnl_per_trade
2024-06-22,Neutral,24,2,169594.27000000002,716.343183,0.3333333333333333,53.0,29.847632625
2024-06-23,Greed,5,1,1792.12,-0.17921199999999998,0.0,55.0,-0.035842399999999996
2024-06-24,Neutral,31,2,403002.8,-103.551001,0.0,51.0,-3.340354870967742
2024-06-25,Fear,49,1,103099.08,4833.268454,0.22448979591836735,30.0,98.63813171428572
2024-06-26,Neutral,72,2,365190.66000000003,4070.177882,0.2916666666666667,46.0,56.53024836111111
2024-06-27,Fear,30,2,130486.95,-45.556012,0.0,40.0,-1.5185337333333335
2024-06-29,Fear,75,2,280095.11,5690.030914,0.32,30.0,75.86707885333334
2024-06-30,Neutral,14,2,30520.69,-17.057669,0.0,47.0,-1.2184049285714287
2024-07-01,Neutral,64,2,362670.14999999997,4640.516283,0.40625,53.0,72.508066921875
2024-07-02,Neutral,18,1,33347.47,2409.794386,0.7222222222222222,51.0,133.87746588888888
2024-07-03,Neutral,18,2,179600.66,1055.7586019999999,0.2222222222222222,50.0,58.65325566666666
2024-07-04,Fear,25,2,430568.01,-113.02464499999999,0.0,44.0,-4.5209858
2024-07-05,Fear,32,2,272289.89,-95.130717,0.0,29.0,-2.97283490625
2024-07-06,Fear,24,1,2490.17,-235.481982,0.2916666666666667,26.0,-9.81174925
2024-07-07,Fear,10,1,498.75,61.379067,1.0,29.0,6.1379067
2024-07-08,Fear,1,1,497.64,-0.0156,0.0,28.0,-0.0156
2024-07-09,Fear,15,1,2736.45,648.586844,1.0,27.0,43.239122933333334
2024-07-10,Fear,56,2,687900.21,11736.969867,0.6785714285714286,28.0,209.588747625
2024-07-11,Fear,19,1,169887.02,1817.351639,0.47368421052631576,29.0,95.65008626315789
2024-07-12,Fear,19,2,89582.97,1380.9606250000002,0.47368421052631576,25.0,72.68213815789474
2024-07-13,Fear,17,2,139189.19,2864.9016269999997,1.0,25.0,168.52362511764704
2024-07-14,Fear,7,1,84001.13,-29.400389,0.0,33.0,-4.200055571428572
2024-07-15,Neutral,26,2,198344.85,-69.995769,0.0,52.0,-2.692144961538461
2024-07-16,Greed,22,1,144000.57,-50.400180999999996,0.0,65.0,-2.290917318181818
2024-07-17,Greed,351,3,626005.53,1652.667564,0.4131054131054131,69.0,4.708454598290598
2024-07-18,Greed,60,2,649704.85,3576.487647,0.8,61.0,59.60812745
2024-07-19,Greed,23,2,150269.42,2103.296826,0.5217391304347826,60.0,91.44768808695652
2024-07-20,Greed,266,2,244362.21,2218.411148,0.12406015037593984,74.0,8.339891533834587
2024-07-21,Greed,448,2,234307.46,-3025.440227,0.046875,74.0,-6.753214792410715
2024-07-22,Greed,154,2,304213.8,1419.66034,0.14285714285714285,70.0,9.218573636363637
2024-07-23,Greed,370,3,358526.54,89831.05908,0.8891891891891892,71.0,242.78664616216219
2024-07-24,Greed,90,5,69207.93,570.4942,0.2,69.0,6.338824444444445
2024-07-25,Greed,78,3,528555.31,692.5523440000001,0.1282051282051282,68.0,8.878876205128206
2024-07-26,Greed,152,4,548587.65,2559.946098,0.40131578947368424,68.0,16.84175064473684
2024-07-27,Greed,57,2,905199.75,6083.803762,0.7368421052631579,72.0,106.73339933333332
2024-07-28,Greed,16,2,43254.68,572.159908,0.75,71.0,35.75999425
2024-07-29,Greed,39,2,327199.14,216.28477,0.41025641025641024,74.0,5.545763333333333
2024-07-30,Greed,6,1,36006.47,-12.602264,0.0,67.0,-2.1003773333333333
2024-07-31,Greed,43,2,84506.54,736.113617,0.32558139534883723,61.0,17.118921325581393
2024-08-01,Neutral,57,4,227774.53,58.98498099999998,0.07017543859649122,52.0,1.0348242280701752
2024-08-02,Greed,63,3,396320.37,636.847729,0.2698412698412698,57.0,10.108694111111111
2024-08-03,Fear,37,5,290532.86,355.53659400000004,0.02702702702702703,37.0,9.609097135135135
2024-08-04,Fear,127,5,1207744.07,-123117.903118,0.023622047244094488,34.0,-969.432308015748
2024-08-05,Fear,80,4,420495.4,-13216.384327,0.4125,26.0,-165.2048040875
2024-08-06,Extreme Fear,107,2,61478.38,204.696769,0.12149532710280374,17.0,1.9130539158878503
2024-08-07,Fear,33,3,2492.77,185.0370512,0.30303030303030304,29.0,5.60718336969697
2024-08-08,Extreme Fear,9,2,16299.35,-47.360212,0.0,20.0,-5.262245777777777
2024-08-09,Neutral,144,5,503204.86,17896.81689532,0.2986111111111111,48.0,124.28345066194444
2024-08-10,Fear,88,2,11339.29,-50.0831879,0.0,40.0,-0.5691271352272728
2024-08-11,Fear,24,2,44230.21,806.845333,0.16666666666666666,39.0,33.618555541666666
2024-08-12,Fear,48,3,54167.32,822.598605,0.125,25.0,17.1374709375
2024-08-13,Fear,23,3,20797.87,194.148143,0.34782608695652173,31.0,8.441223608695653
2024-08-14,Fear,25,3,66710.03,2122.4084070000004,0.2,30.0,84.89633628000001
2024-08-15,Fear,12,1,1522.3700000000001,-16.50261,0.0,29.0,-1.3752175
2024-08-16,Fear,35,2,166382.84,744.042602,0.08571428571428572,27.0,21.258360057142855
2024-08-17,Fear,30,2,30248.96,-305.379652,0.0,25.0,-10.179321733333333
2024-08-18,Fear,15,2,62804.48,285.220331,0.8,31.0,19.014688733333333
2024-08-19,Fear,8,1,100315.03,304.58932500000003,0.625,28.0,38.073665625000004
2024-08-20,Fear,12,2,49914.8,175.13267000000002,0.08333333333333333,30.0,14.594389166666668
2024-08-21,Fear,145,2,104990.41,619.454342,0.3724137931034483,26.0,4.272098910344828
2024-08-23,Fear,10,1,63509.56,983.076928,0.3,34.0,98.3076928
2024-08-24,Greed,7,2,34999.67,-12.249882,0.0,56.0,-1.7499831428571428
2024-08-25,Neutral,17,2,21950.28,-26.303603,0.0,54.0,-1.5472707647058823
2024-08-26,Greed,6,2,92611.27,198.933986,0.3333333333333333,55.0,33.155664333333334
2024-08-27,Neutral,50,2,70250.16,-52.053552,0.0,48.0,-1.04107104
2024-08-28,Fear,9,2,71160.06999999999,1308.453619,0.2222222222222222,30.0,145.38373544444443
2024-08-29,Fear,1,1,9995.85,-3.498547,0.0,29.0,-3.498547
2024-08-30,Fear,6,4,37233.24,243.432824,0.16666666666666666,34.0,40.57213733333334
2024-08-31,Fear,34,3,107507.43000000001,-29.072513999999998,0.35294117647058826,29.0,-0.8550739411764705
2024-09-01,Fear,12,1,12359.68,133.107232,0.4166666666666667,26.0,11.092269333333334
2024-09-02,Fear,2,1,30000.42,-10.500148,0.0,26.0,-5.250074
2024-09-04,Fear,34,2,131480.97,1002.214905,0.14705882352941177,27.0,29.476908970588237
2024-09-05,Fear,1,1,0.84,0.0,0.0,29.0,0.0
2024-09-06,Extreme Fear,42,2,39047.1,-1118.523241,0.0,22.0,-26.63150573809524
2024-09-08,Fear,1,1,0.11,0.0,0.0,29.0,0.0
2024-09-09,Fear,2,1,4014.4300000000003,-34.9079,0.0,26.0,-17.45395
2024-09-10,Fear,3,2,2547.28,-227.020059,0.0,33.0,-75.673353
2024-09-11,Fear,1,1,0.54,0.0,0.0,37.0,0.0
2024-09-14,Neutral,11,2,1014.8000000000001,-30.381330000000002,0.0,50.0,-2.7619390909090913
2024-09-18,Neutral,145,1,13633.5,-910.417737,0.0,45.0,-6.278743013793103
2024-09-19,Neutral,19,1,1521.8700000000001,-28.60766,0.0,49.0,-1.5056663157894736
2024-09-20,Neutral,16,2,332873.38,9475.717249,0.5,54.0,592.2323280625
2024-09-21,Neutral,23,1,165648.12,36107.592489,1.0,54.0,1569.8953256086957
2024-09-22,Neutral,3,1,19999.739999999998,-6.999907,0.0,52.0,-2.3333023333333336
2024-09-23,Neutral,2,1,40334.29,320.643794,0.5,50.0,160.321897
2024-09-24,Neutral,10,2,7118.63,-12.966142,0.0,54.0,-1.2966142
2024-09-25,Greed,9,2,52754.130000000005,-17.764677,0.0,59.0,-1.9738529999999999
2024-09-26,Neutral,8,2,113711.93000000001,408.464309,0.25,50.0,51.058038625
2024-09-27,Greed,56,2,126097.04,-37.503311,0.0,61.0,-0.669701982142857
2024-09-28,Greed,4,1,29199.21,-2.8031200000000003,0.0,64.0,-0.7007800000000001
2024-09-30,Greed,106,2,214669.85,2644.988712,0.04716981132075472,61.0,24.952723698113207
2024-10-01,Neutral,4,1,139954.32,-48.98401,0.0,50.0,-12.2460025
2024-10-02,Fear,4,1,99954.34,-34.984016999999994,0.0,42.0,-8.746004249999999
2024-10-03,Fear,9,2,132935.69,53.848290999999996,0.3333333333333333,37.0,5.983143444444444
2024-10-04,Fear,1,1,0.34,0.0,0.0,41.0,0.0
2024-10-05,Neutral,37,2,605605.74,5555.200121,0.6486486486486487,49.0,150.1405438108108
2024-10-06,Neutral,22,1,300130.56,25.441386,0.22727272727272727,50.0,1.1564266363636364
2024-10-07,Neutral,21,1,219984.65,-76.994616,0.0,50.0,-3.6664102857142855
2024-10-08,Neutral,36,2,434584.13,5244.4424180000005,0.9166666666666666,49.0,145.67895605555557
2024-10-09,Neutral,14,1,220399.93,318.922753,0.21428571428571427,49.0,22.780196642857142
2024-10-10,Fear,16,1,300024.33999999997,-105.00851,0.0,39.0,-6.563031875
2024-10-11,Fear,26,2,488904.19,8714.211283,0.6923076923076923,32.0,335.1619724230769
